Year,Round,EventName,Circuit,DriverNumber,Abbreviation,FullName,TeamName,GridPosition,Position,Points,Status,QualifyingPosition,Q1_seconds,Q2_seconds,Q3_seconds,FP1_best_sec,FP2_best_sec,FP3_best_sec,AirTemp_mean,TrackTemp_mean,Humidity_mean,WindSpeed_mean,Rainfall,PointsClean,DNF,AvgPoints_L5,WinRate_L5,PodiumRate_L5,DNFRate_L5,SeasonWins,SeasonPoints,Position_clean,GridPosition_clean,DriverExp,TeamTier,IsTopTeam,BestQTime,GapToPole_sec,GapToPole_pct,IsPolePosition,IsFrontRow,IsTop3Grid,IsTop10Grid,GridPositionInv,BestPracticeTime,PracticePaceRank,PracticeGapToBest,IsTopPracticePace,Win,Podium,PointsFinish,PositionsGained,AvgPositionsGained_L5,CircuitWinRate,CircuitWins,TeamAvgPoints_L5,IsWetRace,HighTireStress,ChampionshipGap,IsChampionshipLeader,Winner,Top3
2025,1,Bahrain Grand Prix,Bahrain,11,GAS,GAS,Alpine,4,2,18,Finished,4,,,84.34341317867558,84.78851233720418,85.09420153531538,84.75706734947957,23.433133734215687,29.993078937577714,32.90418060840997,21.78651475469294,0,18,0,,,,,0.0,1.0,2.0,4,8.0,3.0,0,84.34341317867558,0.3442071815530028,0.40977432758685095,0,0,0,1,17,84.75706734947957,7.0,0.5946585133189046,0,0,1,1,2.0,,0.0,0,,0,0,388.0,0,0,1
2025,2,Saudi Arabia Grand Prix,Saudi Arabia,11,GAS,GAS,Alpine,16,17,0,Finished,16,86.3174197132258,,,,,,54.68462249336703,64.60979943155567,39.76214938990223,2.120942852129798,0,0,0,18.0,0.0,1.0,0.0,0.0,18.0,17.0,16,8.0,3.0,0,86.3174197132258,1.239605975059348,1.4570261277215364,0,0,0,0,5,,,,0,0,0,0,-1.0,2.0,0.0,0,18.0,0,1,7.0,0,0,0
2025,3,Australia Grand Prix,Australia,11,GAS,GAS,Alpine,14,10,1,Finished,14,,82.85886590283735,,,,,40.60655638285664,51.440244033828236,78.10862742372709,0.9170800722649475,1,1,0,9.0,0.0,0.5,0.0,0.0,18.0,10.0,14,8.0,3.0,0,82.85886590283735,0.5494748828762965,0.6675725285624359,0,0,0,0,7,,,,0,0,0,1,4.0,0.5,0.0,0,9.0,1,1,19.0,0,0,0
2025,4,Japan Grand Prix,Japan,11,GAS,GAS,Alpine,10,R,0,Retired,10,,,85.60621064272542,85.95549611766525,85.94084871187755,86.01749469459452,23.054563804272796,33.130667591117344,42.12048662075401,8.337479292278605,0,0,1,6.333333333333333,0.0,0.3333333333333333,0.0,0.0,19.0,,10,8.0,3.0,0,85.60621064272542,0.9927264323622893,1.1732484977148643,0,0,0,1,11,85.94084871187755,10.0,1.098631913186125,0,0,0,0,,1.6666666666666667,0.0,0,6.333333333333333,0,0,31.0,0,0,0
2025,5,China Grand Prix,China,11,GAS,GAS,Alpine,19,10,1,Finished,19,81.44771785037757,,,,,,35.747851652081465,48.74640421155462,51.260675223461675,12.817212775412715,0,1,0,4.75,0.0,0.25,0.25,0.0,19.0,10.0,19,8.0,3.0,0,81.44771785037757,1.2026687317439126,1.4987450876450914,0,0,0,0,2,,,,0,0,0,1,9.0,1.6666666666666667,0.0,0,4.75,0,1,39.0,0,0,0
2025,6,Miami Grand Prix,Miami,11,GAS,GAS,Alpine,16,11,0,Finished,16,86.32727822984833,,,,,,20.3485704838776,34.157278075866884,73.5921763872616,5.711368533282468,0,0,0,4.0,0.0,0.2,0.2,0.0,20.0,11.0,16,8.0,3.0,0,86.32727822984833,1.2234661450944344,1.4376161480005134,0,0,0,0,5,,,,0,0,0,0,5.0,3.5,0.0,0,4.0,0,0,62.0,0,0,0
2025,7,Monaco Grand Prix,Monaco,11,GAS,GAS,Alpine,16,1,25,Finished,16,84.81452878786378,,,,,,20.261944672290813,25.99691214559094,38.48789525437704,9.713952531758643,0,25,0,0.4,0.0,0.0,0.2,0.0,20.0,1.0,16,8.0,3.0,0,84.81452878786378,1.171996701024554,1.4011970606147663,0,0,0,0,5,,,,0,1,1,1,15.0,4.25,1.0,1,0.4,0,0,75.0,0,1,1
2025,8,Canada Grand Prix,Canada,11,GAS,GAS,Alpine,9,13,0,Finished,9,,,83.1421782412098,84.01565957033726,83.70372598675385,83.59498122452774,24.00351614939737,34.40363529544248,74.0039543780729,15.348339619001544,1,0,0,5.4,0.2,0.2,0.2,1.0,45.0,13.0,9,8.0,3.0,0,83.1421782412098,0.9914591088426761,1.2068781859902724,0,0,0,1,12,83.59498122452774,10.0,1.225926936437233,0,0,0,0,-4.0,8.25,0.0,0,5.4,1,0,67.0,0,0,0
2025,9,Spain Grand Prix,Spain,11,GAS,GAS,Alpine,17,17,0,Finished,17,87.60313160106188,,,,,,29.6888915420013,40.51311812407376,67.4036589714766,8.737659302170469,0,0,0,5.2,0.2,0.2,0.2,1.0,45.0,17.0,17,8.0,3.0,0,87.60313160106188,1.106094650960486,1.2787659438537444,0,0,0,0,4,,,,0,0,0,0,0.0,6.25,0.0,0,5.2,0,0,92.0,0,0,0
2025,10,Austria Grand Prix,Austria,11,GAS,GAS,Alpine,12,15,0,Finished,12,,91.93984747898018,,,,,34.306082627412934,43.92903823741901,50.58827707922542,21.97447250705668,0,0,0,5.2,0.2,0.2,0.0,1.0,45.0,15.0,12,8.0,3.0,0,91.93984747898018,0.5093491165189761,0.5570888550773782,0,0,0,0,9,,,,0,0,0,0,-3.0,5.0,0.0,0,5.2,0,0,107.0,0,0,0
2025,11,Britain Grand Prix,Britain,11,GAS,GAS,Alpine,19,18,0,Finished,19,84.85498047485795,,,,,,31.057271229544455,38.01824835692838,60.53900355378841,19.11319486636794,0,0,0,5.0,0.2,0.2,0.0,1.0,45.0,18.0,19,8.0,3.0,0,84.85498047485795,1.145988331993152,1.369014609610055,0,0,0,0,2,,,,0,0,0,0,1.0,2.6,0.0,0,5.0,0,0,132.0,0,0,0
2025,12,Hungary Grand Prix,Hungary,11,GAS,GAS,Alpine,2,17,0,Finished,2,,,85.06301619365341,85.72122095731247,85.37505720383665,85.14257888018288,45.38650318789249,57.613572764874775,64.6266215768554,6.165090874450615,0,0,0,5.0,0.2,0.2,0.0,1.0,45.0,17.0,2,8.0,3.0,0,85.06301619365341,0.12021590642821423,0.14152571615453777,0,1,1,1,19,85.14257888018288,1.0,0.0,1,0,0,0,-15.0,1.8,0.0,0,5.0,0,1,136.0,0,0,0
